,name,homepage,resource,description,projectrank,show,category,github_id,pypi_id,labels,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,dependent_project_count,github_dependent_project_count
37,pex,{},,,1,False,zipapps,pex-tool/pex,,['written-in-python'],,,,,,,,,,,,,,,128.0,,,,3.0,,,
38,cx_Freeze,{},,,1,False,freezers,marcelotduarte/cx_Freeze,,['written-in-python'],,,,,,,,,,,,,,,126.0,,,,3.0,,,
39,PyCrucible,{},,,1,False,launchers,razorblade23/PyCrucible,,['written-in-rust'],,,,,,,,,,,,,,,5.0,,,,3.0,,3.0,3.0
40,python-build-standalone,{},,,1,False,miscellaneous,astral-sh/python-build-standalone,,"['written-in-python', 'written-in-rust']",,,,,,,,,,,,,,,61.0,,,,3.0,,1.0,1.0
41,py2static,{},,,1,False,freezers,joaompinto/py2static,py2static,['written-in-python'],,,,,,,,,,,,,,,,https://pypi.org/project/py2static,29.0,29.0,3.0,,,
42,cosmofy,{},,,1,False,freezers,metaist/cosmofy,cosmofy,['written-in-python'],,,,,,,,,,,,,,,,https://pypi.org/project/cosmofy,53.0,53.0,3.0,,2.0,2.0
43,py-app-standalone,{},,,1,False,freezers,jlevy/py-app-standalone,py-app-standalone,['written-in-python'],,,,,,,,,,,,,,,,https://pypi.org/project/py-app-standalone,63.0,63.0,3.0,,,
44,WinPython,{},,,1,False,miscellaneous,winpython/winpython,,['written-in-python'],,,,,,,,,,,,,,,27.0,,,,3.0,,,
45,Codon,{},,,1,False,compilers,exaloop/codon,,['written-in-cpp'],,,,,,,,,,,,,,,22.0,,,,3.0,,,
46,pinliner,{},,,1,False,miscellaneous,Akrog/pinliner,pinliner,['written-in-python'],,,,,,,,,,,,,,,2.0,https://pypi.org/project/pinliner,47.0,47.0,3.0,1.0,6.0,6.0
47,Shed Skin,{},,,1,False,compilers,shedskin/shedskin,,['written-in-python'],,,,,,,,,,,,,,,28.0,,,,3.0,,,
48,python-embedded-launcher,{},,,1,False,freezers,zsquareplusc/python-embedded-launcher,,"['written-in-c', 'written-in-python']",,,,,,,,,,,,,,,2.0,,,,3.0,,13.0,13.0
49,PyStand,{},,,0,False,freezers,skywind3000/PyStand,,['written-in-cpp'],,,,,,,,,,,,,,,5.0,,,,,,,
50,uvbox,{},,,0,False,launchers,AmadeusITGroup/uvbox,,['written-in-go'],,,,,,,,,,,,,,,3.0,,,,,,,
51,exxo,{},,,0,False,freezers,mbachry/exxo,,['written-in-python'],,,,,,,,,,,,,,,3.0,,,,,,,
52,relocatable-python,{},,,0,False,miscellaneous,gregneagle/relocatable-python,,['written-in-python'],,,,,,,,,,,,,,,9.0,,,,,,,
53,msicreator,{},,,0,False,miscellaneous,jpakkane/msicreator,,['written-in-python'],,,,,,,,,,,,,,,5.0,,,,,,,
54,Platypus,{},,,0,False,miscellaneous,sveinbjornt/Platypus,,,,,,,,,,,,,,,,,15.0,,,,,,,
55,packaged,{},,,-1,False,freezers,tusharsadhwani/packaged,,['written-in-python'],,,,,,,,,,,,,,,2.0,,,,3.0,,,
